Protein1,Protein2,ShortestPath
STAU2,CTNNA1,2
STAU2,YTHDC2,2
STAU2,POLR2B,2
STAU2,TPR,2
STAU2,MAP4,2
STAU2,NOP16,2
STAU2,FAM120A,2
STAU2,PTCD2,2
STAU2,RRP12,2
STAU2,MRTO4,2
STAU2,THRAP3,2
STAU2,NOP58,2
STAU2,USP36,2
STAU2,MLL3,2
STAU2,PUM2,2
STAU2,MRPL43,2
STAU2,ZFR,2
STAU2,RC3H2,3
STAU2,ZC3H11A,2
STAU2,PARP12,2
STAU2,ALDH18A1,2
STAU2,CSDA,2
STAU2,CCAR1,2
CTNNA1,YTHDC2,2
CTNNA1,POLR2B,2
CTNNA1,TPR,2
CTNNA1,MAP4,2
CTNNA1,NOP16,2
CTNNA1,FAM120A,2
CTNNA1,PTCD2,2
CTNNA1,RRP12,2
CTNNA1,MRTO4,2
CTNNA1,THRAP3,2
CTNNA1,NOP58,2
CTNNA1,USP36,2
CTNNA1,MLL3,2
CTNNA1,PUM2,2
CTNNA1,MRPL43,2
CTNNA1,ZFR,2
CTNNA1,RC3H2,3
CTNNA1,ZC3H11A,2
CTNNA1,PARP12,2
CTNNA1,ALDH18A1,2
CTNNA1,CSDA,2
CTNNA1,CCAR1,2
YTHDC2,POLR2B,2
YTHDC2,TPR,2
YTHDC2,MAP4,2
YTHDC2,NOP16,2
YTHDC2,FAM120A,2
YTHDC2,PTCD2,2
YTHDC2,RRP12,2
YTHDC2,MRTO4,2
YTHDC2,THRAP3,2
YTHDC2,NOP58,2
YTHDC2,USP36,2
YTHDC2,MLL3,2
YTHDC2,PUM2,2
YTHDC2,MRPL43,2
YTHDC2,ZFR,2
YTHDC2,RC3H2,3
YTHDC2,ZC3H11A,2
YTHDC2,PARP12,2
YTHDC2,ALDH18A1,2
YTHDC2,CSDA,2
YTHDC2,CCAR1,2
POLR2B,TPR,2
POLR2B,MAP4,2
POLR2B,NOP16,2
POLR2B,FAM120A,2
POLR2B,PTCD2,2
POLR2B,RRP12,2
POLR2B,MRTO4,2
POLR2B,THRAP3,2
POLR2B,NOP58,2
POLR2B,USP36,2
POLR2B,MLL3,2
POLR2B,PUM2,2
POLR2B,MRPL43,2
POLR2B,ZFR,2
POLR2B,RC3H2,3
POLR2B,ZC3H11A,2
POLR2B,PARP12,2
POLR2B,ALDH18A1,2
POLR2B,CSDA,2
POLR2B,CCAR1,2
TPR,MAP4,2
TPR,NOP16,2
TPR,FAM120A,2
TPR,PTCD2,2
TPR,RRP12,2
TPR,MRTO4,2
TPR,THRAP3,2
TPR,NOP58,2
TPR,USP36,2
TPR,MLL3,2
TPR,PUM2,2
TPR,MRPL43,2
TPR,ZFR,2
TPR,RC3H2,3
TPR,ZC3H11A,2
TPR,PARP12,2
TPR,ALDH18A1,2
TPR,CSDA,2
TPR,CCAR1,2
MAP4,NOP16,2
MAP4,FAM120A,2
MAP4,PTCD2,2
MAP4,RRP12,2
MAP4,MRTO4,2
MAP4,THRAP3,2
MAP4,NOP58,2
MAP4,USP36,2
MAP4,MLL3,2
MAP4,PUM2,2
MAP4,MRPL43,2
MAP4,ZFR,2
MAP4,RC3H2,3
MAP4,ZC3H11A,2
MAP4,PARP12,2
MAP4,ALDH18A1,2
MAP4,CSDA,2
MAP4,CCAR1,2
NOP16,FAM120A,2
NOP16,PTCD2,2
NOP16,RRP12,2
NOP16,MRTO4,2
NOP16,THRAP3,2
NOP16,NOP58,2
NOP16,USP36,2
NOP16,MLL3,2
NOP16,PUM2,2
NOP16,MRPL43,2
NOP16,ZFR,2
NOP16,RC3H2,3
